id,	name,	department,	address,	email,	mobile
1,	Nilachal1,	dept1,	Adrs1,	email1,	1234567890
2,	Nilachal2,	dept1,	Adrs2,	email2,	1234567891
3,	Nilachal3,	dept1,	Adrs3,	email3,	1234567892
4,	Nilachal4,	dept2,	Adrs4,	email4,	1234567893
5,	Nilachal5,	dept2,	Adrs5,	email5,	1234567894
6,	Nilachal6,	dept2,	Adrs6,	email6,	1234567895
7,	Nilachal7,	dept3,	Adrs7,	email7,	1234567896
8,	Nilachal8,	dept3,	Adrs8,	email8,	1234567897
9,	Nilachal9,	dept3,	Adrs9,	email9,	1234567898
10,	Nilachal10,	dept3,	Adrs10,	email10,1234567899
